Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
43,1.22199662e+01,2.13632209e-01,6.22052253e-01,2.29750000e-02,8.00000000e-04,5.98170184e-01,6.18939397e-01,1.00000000e-02,8.00000000e-04,4.65703528e+01,-2.52774355e+01,1.25136478e+01,-4.40587789e-01,0,0
44,1.25109178e+01,2.10905424e-01,6.45638813e-01,2.29750000e-02,8.00000000e-04,5.90535188e-01,6.42166869e-01,1.00000000e-02,8.00000000e-04,4.48531647e+01,-2.43023445e+01,1.20140293e+01,-4.40587789e-01,0,0
45,1.28018694e+01,2.08178640e-01,6.69238123e-01,2.29750000e-02,8.00000000e-04,5.82900192e-01,6.65417377e-01,1.00000000e-02,8.00000000e-04,4.29196594e+01,-2.32588741e+01,1.14514728e+01,-4.40587789e-01,0,0
46,1.30928209e+01,2.05451856e-01,6.92850183e-01,2.29750000e-02,8.00000000e-04,5.75265196e-01,6.88690921e-01,1.00000000e-02,8.00000000e-04,4.09447823e+01,-2.22091507e+01,1.08768792e+01,-4.40587789e-01,0,0
47,1.33837725e+01,2.02725071e-01,7.16474993e-01,2.29750000e-02,8.00000000e-04,5.67630199e-01,7.11987497e-01,1.00000000e-02,8.00000000e-04,3.89536085e+01,-2.05396541e+01,1.04805486e+01,-4.40587789e-01,1,0
48,1.36747241e+01,1.99998287e-01,7.40112553e-01,1.50000000e-02,8.00000000e-04,5.59995203e-01,7.35307107e-01,1.00000000e-02,8.00000000e-04,3.69776916e+01,-1.86773202e+01,1.00886571e+01,-4.40587789e-01,0,0
49,1.39656757e+01,1.97271502e-01,7.63762863e-01,1.50000000e-02,8.00000000e-04,5.52360207e-01,7.58649747e-01,1.00000000e-02,8.00000000e-04,3.52712295e+01,-1.68089945e+01,9.59215924e+00,-4.40587789e-01,0,0
50,1.42566272e+01,1.94411486e-01,7.88997397e-01,1.50000000e-02,8.00000000e-04,5.44352161e-01,7.83655326e-01,1.00000000e-02,8.00000000e-04,3.36842486e+01,-1.49932003e+01,9.13042464e+00,-4.40587789e-01,0,0
51,1.45475788e+01,1.91469812e-01,8.15208653e-01,1.50000000e-02,8.00000000e-04,5.36115473e-01,8.09687961e-01,1.00000000e-02,8.00000000e-04,3.23139020e+01,-1.31840144e+01,8.73172012e+00,-4.40587789e-01,0,0
52,1.48385304e+01,1.88528137e-01,8.41433663e-01,1.50000000e-02,8.00000000e-04,5.27878785e-01,8.35742298e-01,1.00000000e-02,8.00000000e-04,3.10548534e+01,-1.14450983e+01,8.36539795e+00,-4.40587789e-01,0,0
53,1.51294820e+01,1.85586463e-01,8.67672429e-01,1.50000000e-02,8.00000000e-04,5.19642097e-01,8.61818337e-01,1.00000000e-02,8.00000000e-04,2.97842433e+01,-9.61539838e+00,7.99571194e+00,-4.40587789e-01,0,0
54,1.54204335e+01,1.82644789e-01,8.93924949e-01,1.50000000e-02,8.00000000e-04,5.11405408e-01,8.87916079e-01,1.00000000e-02,8.00000000e-04,2.84855461e+01,-7.80507669e+00,7.61785396e+00,-4.40587789e-01,0,0
55,1.57113851e+01,1.79459406e-01,9.21665497e-01,1.50000000e-02,8.00000000e-04,5.02486337e-01,9.15518147e-01,1.00000000e-02,8.00000000e-04,2.69995535e+01,-5.96549186e+00,7.18550204e+00,-4.40587789e-01,0,0
56,1.60023367e+01,1.76246944e-01,9.49584813e-01,1.50000000e-02,8.00000000e-04,4.93491444e-01,9.43308557e-01,1.00000000e-02,8.00000000e-04,2.53428345e+01,-4.17605922e+00,6.70347705e+00,-4.40587789e-01,0,0
57,1.62932883e+01,1.73034483e-01,9.77519150e-01,1.50000000e-02,8.00000000e-04,4.84496552e-01,9.71122670e-01,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
58,1.65842398e+01,1.69130912e-01,1.00662174e+00,1.50000000e-02,8.00000000e-04,4.73566555e-01,1.00034440e+00,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
59,1.68751914e+01,1.65190967e-01,1.03580336e+00,1.50000000e-02,8.00000000e-04,4.62534709e-01,1.02965817e+00,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
60,1.71661430e+01,1.61251023e-01,1.06500340e+00,1.50000000e-02,8.00000000e-04,4.51502863e-01,1.05899103e+00,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-3.35030298e-01,-2.20293895e-01,0,0
