schema_version,case_label,eta,y_m,pre_structure_cl,loaded_shape_cl,delta_cl_loaded_minus_pre,pre_structure_lift_per_span_npm,loaded_shape_lift_per_span_npm,delta_lift_per_span_npm,bending_proxy_pre_structure_m,bending_proxy_loaded_shape_m,bending_proxy_delta_m,root_bending_moment_pre_structure_nm,root_bending_moment_loaded_shape_nm,root_bending_moment_ratio_loaded_vs_pre,comparison_basis
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.8414470274423321,14.4444,0.8659,0.8664,0.0004999999999999449,17.137787194835997,17.147683133855995,0.009895939019997968,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.8814967928439137,15.1319,0.8197,0.822,0.0022999999999999687,15.635643790535996,15.679515915359996,0.04387212482400038,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9138628287088135,15.6875,0.7741,0.78,0.005900000000000016,14.302285193195997,14.411293696799996,0.10900850360399872,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9388946602623547,16.1172,0.7229,0.7323,0.009399999999999964,13.003315530083997,13.172400003707997,0.16908447362400025,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9593418859437439,16.4682,0.6587,0.6723,0.013600000000000056,11.559021156143997,11.797677126575998,0.23865597043200104,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9752452836959355,16.7412,0.5747,0.5912,0.01649999999999996,9.866373279839998,10.149643088639998,0.2832698088000001,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9873097293899974,16.9483,0.4588,0.4764,0.017600000000000005,7.744554423935999,8.041642823807999,0.297088399872,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9954187146174884,17.0875,0.3031,0.318,0.014900000000000024,5.057911452131998,5.306551770959999,0.24864031882800042,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9994906834925001,17.1574,0.1077,0.1139,0.006199999999999997,1.7867008031399998,1.8895563739799996,0.10285557083999985,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,1.0,17.166143,0.1077,0.1139,0.006199999999999997,1.7853281574462971,1.8881047087570402,0.10277655131074304,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
