schema_version,case_label,eta,y_m,chord_m,local_cl,local_cd,cm_c4,lift_per_span_npm,drag_per_span_npm,aoa_deg,velocity_mps,dynamic_pressure_pa,density_kgpm3,dynamic_viscosity_pa_s,reynolds,diagnostic_section_cl_limit,stall_margin_cl,stall_utilization,stall_margin_basis,geometry_z_basis
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.762652390813708,13.0918,0.8218,1.0184,0.0051,-0.1364,21.509207552447993,0.10771500247199997,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,371498.63013698626,1.2,0.18159999999999998,0.8486666666666667,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.801554548392146,13.7596,0.7968,0.9323,0.0014,-0.123,19.091712790655997,0.028669310207999992,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,360197.26027397247,1.2,0.26769999999999994,0.7769166666666667,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.8414470274423321,14.4444,0.7701,0.8664,0.0012,-0.1155,17.147683133855995,0.023750253647999993,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,348127.39726027386,1.2,0.3336,0.722,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.8814967928439137,15.1319,0.7422,0.822,0.0037,-0.1144,15.679515915359996,0.07057689645599999,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,335515.0684931506,1.2,0.378,0.6849999999999999,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9138628287088135,15.6875,0.7189,0.78,0.0063,-0.1134,14.411293696799996,0.11639891062799997,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,324982.1917808218,1.2,0.41999999999999993,0.65,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9388946602623547,16.1172,0.6999,0.7323,0.0092,-0.1119,13.172400003707997,0.16548693163199996,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,316393.15068493143,1.2,0.4677,0.61025,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9593418859437439,16.4682,0.6828,0.6723,0.0126,-0.1091,11.797677126575998,0.22110773731199995,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,308663.01369863003,1.2,0.5277,0.56025,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9752452836959355,16.7412,0.668,0.5912,0.0159,-0.1038,10.149643088639998,0.27296908847999996,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,301972.60273972596,1.2,0.6088,0.49266666666666664,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9873097293899974,16.9483,0.6568,0.4764,0.0173,-0.0924,8.041642823807999,0.292024393056,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,296909.58904109587,1.2,0.7236,0.397,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9954187146174884,17.0875,0.6493,0.318,0.0147,-0.0688,5.306551770959999,0.24530286488399994,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,293519.1780821917,1.2,0.8819999999999999,0.265,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.9994906834925001,17.1574,0.6455,0.1139,0.0061,-0.0269,1.8895563739799996,0.10119661002,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,291801.3698630136,1.2,1.0861,0.09491666666666668,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,1.0,17.166143,0.64500409,0.1139,0.0061,-0.0269,1.8881047087570402,0.10111886499927959,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,291577.191369863,1.2,1.0861,0.09491666666666668,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
