case_id,variant,zone,airfoil_id,local_Cl_max,local_Cl_mean,safe_clmax,usable_clmax,stall_margin_cl,stall_utilization
conservative_best_tier2,raw,mid2,dae31,1.2623,1.1355,1.4987062860961446,1.7207847623290495,0.23640628609614467,0.842259762109933
conservative_best_tier2,raw,tip,clarkysm,0.8661,0.5494545454545455,1.3045686577153306,1.5050762863503673,0.4384686577153306,0.6638975993159199
conservative_best_tier2,monotone,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.3287,1.2513666666666665,1.6370153344478995,1.8744614827198884,0.3083153344478995,0.811660081637609
conservative_best_tier2,monotone,mid1,cst_mid1_nsga2_g05_child_0114_b5496e0b,1.3757,1.3501833333333335,1.7273495297174852,1.9748328107972057,0.3516495297174853,0.7964224821510218
conservative_best_tier2,monotone,mid2,dae31,1.2601,1.1331,1.4987062860961446,1.7207847623290495,0.23860628609614465,0.840791829386617
conservative_best_tier2,monotone,tip,clarkysm,0.8649,0.5433727272727272,1.3045686577153306,1.5050762863503673,0.4396686577153306,0.6629777550494621
conservative_best_tier2,smooth_monotone,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.2974,1.2403833333333332,1.6370153344478995,1.8744614827198884,0.3396153344478994,0.792539918654801
conservative_best_tier2,smooth_monotone,mid1,cst_mid1_nsga2_g05_child_0114_b5496e0b,1.3392,1.3211333333333333,1.7273495297174852,1.9748328107972057,0.3881495297174853,0.7752918427685168
conservative_best_tier2,smooth_monotone,mid2,dae31,1.2543,1.14084,1.4987062860961446,1.7207847623290495,0.24440628609614468,0.8369218249342383
conservative_best_tier2,smooth_monotone,tip,clarkysm,0.8903,0.5373363636363636,1.3045686577153306,1.5050762863503673,0.4142686577153306,0.6824477920228189
policy_A_performance_candidate,raw,root,dae11,1.3385,1.2900083333333334,1.4856769874299949,1.7063077638111055,0.14717698742999485,0.9009360791913525
policy_A_performance_candidate,raw,mid1,dae11,1.3467,1.3175,1.4856769874299949,1.7063077638111055,0.13897698742999487,0.9064554485222223
policy_A_performance_candidate,raw,mid2,clarkysm,1.1856,1.0619999999999998,1.3045686577153306,1.5050762863503673,0.1189686577153306,0.9088061352603102
policy_A_performance_candidate,raw,tip,clarkysm,0.9092,0.6119454545454546,1.3045686577153306,1.5050762863503673,0.3953686577153306,0.6969353392195293
policy_A_performance_candidate,monotone,root,dae11,1.3384,1.2895999999999999,1.4856769874299949,1.7063077638111055,0.14727698742999484,0.9008687698092688
