case_id,variant,eta,y_m,chord_m,cl,airfoil_id,Re,profile_cd_station,profile_lookup_status
raw_best_tier2,monotone,0.801554548392146,13.7596,0.948,0.8284,cst_tip_nsga2_g04_child_0123_01770232,397185.7908999441,4.7392043738560084e-07,interp_clean_nearest_re
raw_best_tier2,monotone,0.8414470274423321,14.4444,0.9211,0.782,cst_tip_nsga2_g04_child_0123_01770232,385915.43459698156,0.009187280224213902,interp_clean_nearest_re
raw_best_tier2,monotone,0.8814967928439137,15.1319,0.8708,0.7459,cst_tip_nsga2_g04_child_0123_01770232,364841.12522750144,0.024147376749500505,interp_clean_nearest_re
raw_best_tier2,monotone,0.9138628287088135,15.6875,0.7941,0.719,cst_tip_nsga2_g04_child_0123_01770232,332705.94573169365,0.04284275485932386,interp_clean_nearest_re
raw_best_tier2,monotone,0.9388946602623547,16.1172,0.6976,0.7055,cst_tip_nsga2_g04_child_0123_01770232,292275.1136411403,0.01015780826934222,interp_clean_nearest_re
raw_best_tier2,monotone,0.9593418859437439,16.4682,0.653,0.6526,cst_tip_nsga2_g04_child_0123_01770232,273588.94668529904,0.01097506262060567,interp_clean_nearest_re
raw_best_tier2,monotone,0.9752452836959355,16.7412,0.6499,0.5557,cst_tip_nsga2_g04_child_0123_01770232,272290.1323901621,0.01105142552335682,interp_clean_nearest_re
raw_best_tier2,monotone,0.9873097293899974,16.9483,0.6475,0.4328,cst_tip_nsga2_g04_child_0123_01770232,271284.59874231415,0.011241795848111002,interp_clean_nearest_re
raw_best_tier2,monotone,0.9954187146174884,17.0875,0.6459,0.2784,cst_tip_nsga2_g04_child_0123_01770232,270614.24297708215,0.01137274242741412,interp_clean_nearest_re
raw_best_tier2,monotone,0.9994906834925001,17.1574,0.6451,0.0971,cst_tip_nsga2_g04_child_0123_01770232,270279.0650944662,0.015205415498847696,interp_clean_nearest_re
raw_best_tier2,monotone,1.0,17.166143,0.64500409,0.0971,cst_tip_nsga2_g04_child_0123_01770232,270238.88145606406,0.015205415498847696,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.0,0.0,1.256773096,1.3416,cst_root_nsga2_g04_child_0066_2124fc90,526553.1815575226,0.010352466163887426,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.0006582725076914481,0.0113,1.2564,1.3416,cst_root_nsga2_g04_child_0066_2124fc90,526396.8646484069,0.010352466163887426,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.0059128017283789375,0.1015,1.2536,1.3334,cst_root_nsga2_g04_child_0066_2124fc90,525223.742059251,0.010276672807436495,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.016369431385955483,0.281,1.2481,1.3355,cst_root_nsga2_g04_child_0066_2124fc90,522919.39411626605,0.010296083301161734,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.03193495475366831,0.5482,1.2398,1.3393,cst_root_nsga2_g04_child_0066_2124fc90,519441.9235841252,0.01060883120787335,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.052446260059700066,0.9003,1.2288,1.3445,cst_root_nsga2_g04_child_0066_2124fc90,514833.2276981553,0.010649656078960089,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.07771693385054522,1.3341,1.2154,1.3508,cst_root_nsga2_g04_child_0066_2124fc90,509218.99816433765,0.010699116980469022,interp_clean_nearest_re
