case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.5775348169148952,9.84318,0.93698,1.2054536145264898,0.03249456972215296,-0.21849903179618788,1.1294859277390306,0.7292182535019849,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.6137035715794463,10.45962,0.93906,1.152555055878621,0.02988685799257922,-0.20841157255107273,1.0823183507733778,0.6987659413021636,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.6498723262439977,11.07606,0.94114,1.0992969218263497,0.027492536209085136,-0.19813555465808888,1.0345923050076509,0.6679530706987147,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.6860404941725379,11.69249,0.94324,1.0485876860984251,0.02552262112820462,-0.1881107233598779,0.9890698490354785,0.6385628808575726,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.7161693883394432,12.20599,0.94683,1.010623026911353,0.0248648244795114,-0.18202148535905338,0.9568882005704763,0.617785777830322,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.7402572485366803,12.61653,0.95192,0.9817896392381731,0.025298044587352093,-0.17898572222342798,0.9345851933836017,0.6033865192391049,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.7643451087339176,13.02707,0.95702,0.9553197264301925,0.026252281451726697,-0.17640563730430853,0.9142600845882228,0.5902642306173483,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.7884329689311547,13.43761,0.96212,0.9286344750821839,0.02724982334306147,-0.17355233227734834,0.8934578011660708,0.5768338687036585,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.812521415864403,13.84816,0.96722,0.900809563410653,0.02833067026135642,-0.1702325021155873,0.8712810259220518,0.5625161079289656,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.8325883741779828,14.19017,0.95767,0.8829360908183538,0.029031602098770853,-0.17011216243910937,0.8455614060940129,0.545911017249101,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.8486344306079054,14.46365,0.93347,0.8763038025479275,0.028914992044850506,-0.17369665178794255,0.8180033105644139,0.5281189706211609,linearly_interpolated_to_CL_req
