station_index,y_m,main_x_m,rear_x_m,quarter_chord_x_m,elastic_axis_x_m,aero_chord_m,spar_separation_m,spar_sep_over_chord,spar_pair_delta_z_change_m,direct_spar_pair_rotation_deg,elastic_axis_quarter_chord_projection_deg,conservative_bounded_physical_projection_deg,bounded_projection_lever_m
13.0,3.78300405653,0.284655144971,0.797165221152,0.2846104221346631,0.5409101830615,1.1384416885386524,0.512510076181,0.4501856189392341,0.0025188783923081604,0.2815943445366047,0.2815943445365983,0.1690271696411266,0.8538312664039893
14.0,4.0741298017,0.282388382794,0.790686976603,0.28228438898230085,0.5365376796985,1.1291375559292034,0.508298593809,0.4501653418043516,0.007304170428216489,0.823274629304063,0.823274629304063,0.49416803001538073,0.8468531669469026
15.0,4.36529189886,0.280349954847,0.784599386309,0.2799580653852242,0.5324746705779999,1.1198322615408969,0.504249431462,0.4502901450331046,0.01668085582378201,1.894685796091343,1.8946857960913526,1.1378096893042515,0.8398741961556726
16.0,4.65648016535,0.278000606282,0.778217070347,0.2776315327007338,0.5281088383145001,1.1105261308029353,0.500216464065,0.4504319621037033,0.025453130231951365,2.9129393621128385,2.9129393621128385,1.7504054014682207,0.8328945981022015
17.0,4.94770812303,0.27529879713,0.771321389535,0.27530468289202703,0.5233100933325,1.1012187315681081,0.49602259240499996,0.4504305803976619,0.030272690624241705,3.492479376713225,3.492479376713222,2.0991546025529497,0.8259140486760811
18.0,5.23898595383,0.272889925477,0.764885333694,0.2729774346076359,0.5188876295855,1.0919097384305436,0.49199540821700005,0.4505824894685614,0.03102826548524995,3.608646095803024,3.6086460958030226,2.169823657945545,0.8189323038229077
19.0,5.53031848161,0.270655808738,0.758398374988,0.27064974930593894,0.514527091863,1.0825989972237557,0.48774256625,0.4505292980141118,0.028399578079901067,3.332374326437423,3.33237432643742,2.003219900954307,0.8119492479178168
20.0,5.82171142956,0.26849822299,0.751924896027,0.2683215812598581,0.5102115595085,1.0732863250394324,0.483426673037,0.4504172481832739,0.02384756885291145,2.8241270079575713,2.8241270079575713,1.696925891046306,0.8049647437795744
21.0,6.11325074211,0.266064466757,0.745268937057,0.26595900484389223,0.505666701907,1.063836019375569,0.4792044703,0.4504495632524971,0.018397518388086676,2.1986078806149076,2.1986078806149045,1.3208970611765865,0.7978770145316767
22.0,6.40504686313,0.263224240172,0.73829789185,0.2635353326804164,0.500761066011,1.0541413307216656,0.47507365167800003,0.4506735841130187,0.0126199245204279,1.5216554392772328,1.521655439277236,0.9144972492327609,0.7906059980412492
23.0,6.69697177766,0.261000407125,0.731668398766,0.26111059075205156,0.4963344029455,1.0444423630082063,0.470667991641,0.45064046453016376,0.008673141464126566,1.0556871808580133,1.0556871808580133,0.6343596843832736,0.7833317722561547
24.0,6.98903624622,0.258727400864,0.72483838505,0.25868468968141767,0.49178289295699995,1.0347387587256707,0.466110984186,0.45046247688647284,0.0064891871333082884,0.7976190853181292,0.7976190853181292,0.4790830755344044,0.776054069044253
25.0,7.28125697322,0.256331898585,0.718085521227,0.2562574907209078,0.48720870990599996,1.0250299628836312,0.461753622642,0.45047817074828433,0.00597094949869828,0.7408520969727482,0.7408520969727482,0.4449994496806109,0.7687724721627234
26.0,7.57365424442,0.25404955812,0.711909349892,0.25382882537605506,0.48297945400600006,1.0153153015042202,0.45785979177200004,0.4509533059273971,0.0066632041214781945,0.8337629396750995,0.8337629396750995,0.501340132564013,0.7614864761281652
27.0,7.86621751827,0.251646045689,0.704217469948,0.25139878120546444,0.47793175781850006,1.0055951248218578,0.45257142425900004,0.45005331975846,0.00702301274085243,0.8890457350827987,0.8890457350827955,0.5335180459403629,0.7541963436163933
28.0,8.15895381586,0.249019013834,0.696572795137,0.24896729989163566,0.4727959044855,0.9958691995665426,0.447553781303,0.44941020517333014,0.007475766289841035,0.9569576783376094,0.956957678337603,0.573456239180264,0.7469018996749069
29.0,8.4518473304,0.246565517412,0.690097203495,0.24653451272650218,0.4683313604535,0.9861380509060087,0.44353168608300003,0.44976632397006466,0.007988705513466615,1.031875819496493,1.031875819496493,0.6188468372508706,0.7396035381795065
30.0,8.7448801413,0.244320548839,0.683384059615,0.24410056855931866,0.463852304227,0.9764022742372747,0.43906351077600003,0.4496748137123896,0.007826065256967413,1.021157577908072,1.0211575779080686,0.6122933162623162,0.7323017056779559
31.0,9.03824331793,0.241810257528,0.676368386581,0.2416136717292517,0.4590893220545,0.9664546869170068,0.43455812905299995,0.44964149373546075,0.006625280177001952,0.8734646975341529,0.8734646975341498,0.5236872824593397,0.7248410151877551
32.0,9.33218947817,0.238703967553,0.668911298281,0.23904019019901987,0.453807632917,0.9561607607960795,0.43020733072800005,0.4499320076362665,0.003775135734928936,0.5027664049037988,0.5027664049037956,0.30161921929674423,0.7171205705970596
33.0,9.62626640464,0.236361317427,0.66192161111,0.23646556381805273,0.4491414642685,0.9458622552722109,0.425560293683,0.4499178303298798,0.0024525872889915035,0.3302031389387938,0.3302031389388002,0.19808711030304316,0.7093966914541582
34.0,9.92045559687,0.233944030002,0.654655293506,0.2338899545568888,0.44429966175400004,0.9355598182275552,0.420711263504,0.44968932537210665,0.0018681363932325223,0.2544158825518163,0.2544158825518226,0.15254478426761503,0.7016698636706664
35.0,10.2147453808,0.231268035094,0.647378488049,0.23131346462124405,0.43932326157150003,0.9252538584849762,0.416110452955,0.4497257148825568,0.0017402309552738693,0.23961740712654314,0.23961740712654314,0.14368334943830538,0.6939403938637322
