zone,airfoil,point,Re,cl_target,clean_clmax,rough_clmax,raw_clmax_mode,safe_clmax,utilization,required_utilization_limit,pass_fail,status,robust_pass_rate,mean_cd,mean_cm,tc,cm_pass,tc_pass,zone_worst_utilization,zone_worst_margin,clean_clmax_lower_bound_count,rough_clmax_lower_bound_count
mid1,FX 76-MP-140,1,397244.307906,1.465726,1.8001257796144114,1.6726321527856065,min,1.498821580562758,0.9779189324520323,0.75,fail,ok,1.0,0.04436238690194853,-0.20534022322545403,0.14065094222638733,False,True,0.9779189324520323,-0.22791893245203232,0,0
mid1,FX 76-MP-140,2,374337.671976,1.396029,1.8001257796144114,1.6726321527856065,min,1.498821580562758,0.9314177338411669,0.75,fail,ok,1.0,0.04436238690194853,-0.20534022322545403,0.14065094222638733,False,True,0.9779189324520323,-0.22791893245203232,0,0
mid1,DAE11,1,397244.307906,1.465726,1.6100924505941299,1.5139352486757145,min,1.3528204287816574,1.0834593925522138,0.75,fail,ok,1.0,0.06746956730192347,-0.1260269874557453,0.1287436849720296,True,True,1.0834593925522138,-0.3334593925522138,0,0
mid1,DAE11,2,374337.671976,1.396029,1.6100924505941299,1.5139352486757145,min,1.3528204287816574,1.0319396205875275,0.75,fail,ok,1.0,0.06746956730192347,-0.1260269874557453,0.1287436849720296,True,True,1.0834593925522138,-0.3334593925522138,0,0
mid1,DAE21,1,397244.307906,1.465726,1.6119033683678285,1.5759083764056268,min,1.4098357062931766,1.0396431254062741,0.75,fail,ok,1.0,0.04536870483356058,-0.140402576992164,0.11817758812909968,True,True,1.0396431254062741,-0.2896431254062741,0,1
mid1,DAE21,2,374337.671976,1.396029,1.6119033683678285,1.5759083764056268,min,1.4098357062931766,0.990206868621963,0.75,fail,ok,1.0,0.04536870483356058,-0.140402576992164,0.11817758812909968,True,True,1.0396431254062741,-0.2896431254062741,0,1
mid1,DAE31,1,397244.307906,1.465726,1.6325941353937463,1.5999353312803741,min,1.4319405047779443,1.0235942031874397,0.75,fail,ok,1.0,0.038436004590421756,-0.13720646400252692,0.11089577573807295,True,True,1.0235942031874397,-0.27359420318743966,0,0
mid1,DAE31,2,374337.671976,1.396029,1.6325941353937463,1.5999353312803741,min,1.4319405047779443,0.9749210915829821,0.75,fail,ok,1.0,0.038436004590421756,-0.13720646400252692,0.11089577573807295,True,True,1.0235942031874397,-0.27359420318743966,0,0
mid1,DAE41,1,397244.307906,1.465726,1.3426054571750088,1.3493338708407507,min,1.195197020601008,1.226346765207761,0.75,fail,ok,1.0,0.0660587767204271,-0.009404605433557008,0.11700965321870367,True,True,1.226346765207761,-0.4763467652077611,0,0
mid1,DAE41,2,374337.671976,1.396029,1.3426054571750088,1.3493338708407507,min,1.195197020601008,1.1680325301497179,0.75,fail,ok,1.0,0.0660587767204271,-0.009404605433557008,0.11700965321870367,True,True,1.226346765207761,-0.4763467652077611,0,0
mid2,FX 76-MP-140,1,348140.954004,1.223509,1.7998022354394447,1.6630622823988521,min,1.483518919806944,0.8247343418843757,0.75,fail,ok,1.0,0.031561510054974665,-0.20170017982017446,0.14065094222638733,False,True,0.8247343418843757,-0.07473434188437567,0,0
mid2,DAE11,1,348140.954004,1.223509,1.6145176851347887,1.5061421518974039,min,1.3391523997456116,0.9136443322152284,0.75,fail,ok,1.0,0.033711764881604815,-0.12529874390734147,0.1287436849720296,True,True,0.9136443322152284,-0.16364433221522845,0,0
mid2,DAE21,1,348140.954004,1.223509,1.610798192280795,1.5662589608399404,min,1.3944598639727452,0.8774071105311594,0.75,fail,ok,1.0,0.02794209192118318,-0.1430637349563426,0.11817758812909968,True,True,0.8774071105311594,-0.12740711053115938,0,1
