scale,zone,rank,source,candidate_id,score,cd_mission,safe_clmax,usable_clmax,cm,robust_pass_rate,tc,max_thickness_x,camber,te_thickness,hard_gate_pass,hard_gate_notes,artifact_suspicion,artifact_notes,upper_coefficients,lower_coefficients
smoke,mid1,5,seedless,seedless_sobol_0154,12.58560441105317,0.09158089966942232,1.1752189354229576,1.320890147198867,-0.06033655202730738,1.0,0.15476023022014068,0.32792452830188684,0.046685068000930315,0.0031404389627277852,False,stall margin -0.497 at reference_avl_case,medium,polar target mismatch dCL=0.149,"[0.1491511766333133, 0.36161521867403024, 0.2744741100817919, 0.3682897255581469, 0.37403556872593613, 0.12900223669528124, 0.09037973200332373]","[-0.09757820859551429, -0.10757801349672025, -0.10509591644629837, -0.07635499620301463, 0.016323912253391, 0.0048820420261556224, 8.055238811858004e-05]"
smoke,mid1,6,seedless,seedless_sobol_0276,12.66250540220112,0.019471181193680895,1.4973230969979214,1.6710033663020885,-0.08555138174890864,1.0,0.1272773217196006,0.36415094339622645,0.027079660793177775,0.0005011602863669396,False,stall margin -0.229 at reference_avl_case,low,no immediate artifact trigger,"[0.22952910996973513, 0.2929608677614425, 0.14057248886674645, 0.2468727810395379, 0.3395079765346814, 0.13441472832875143, 0.2681831196519546]","[-0.17946696996688843, 0.04143370855608025, -0.19904745391570033, -0.10710008019754849, -0.09729651725868137, 0.05544279907434155, 0.15392555682550746]"
smoke,mid1,7,seedless,seedless_sobol_0173,12.68037726336964,0.04380249635101025,1.0770275010742048,1.2141603272545705,-0.06867319917652842,1.0,0.11969485226957621,0.37622641509433963,0.04903911576848844,0.0010738243348896504,False,stall margin -0.611 at reference_avl_case,medium,polar target mismatch dCL=0.256,"[0.13870000927709042, 0.12379729978801124, 0.23547629639506343, 0.3626749246536931, 0.48031124303839917, 0.011399757784597576, 0.21089490664078295]","[-0.14482867445796727, -0.1491909386435589, -0.14782342441380025, 0.21281328536804767, -0.14188149291247504, -0.0482463847989887, 0.02723331278962363]"
smoke,mid1,8,seedless,seedless_sobol_0028,12.840235505432096,0.05564159993826908,1.2846940102540356,1.4398847937543866,-0.08326284181161427,1.0,0.1573276964411514,0.2916981132075472,0.0448424362967083,0.0019558385387063028,False,stall margin -0.391 at reference_avl_case,low,no immediate artifact trigger,"[0.18727600034326314, 0.31029503680441906, 0.2369472553022206, 0.28146218505259135, 0.459002991867004, 0.04132375162167009, 0.2528660691986382]","[-0.11983508735895157, -0.163028295669768, -0.24337805199436843, 0.024319346120012936, 0.003487390258666123, 0.18637038212727383, 0.0016319658680679291]"
smoke,mid1,9,seedless,seedless_sobol_0077,13.035268971584006,0.05938625512302522,1.1680327472660448,1.313079073115266,-0.09990366949939256,1.0,0.14427045527695145,0.3158490566037736,0.05570670233333179,0.0015557844080030918,False,stall margin -0.505 at reference_avl_case,medium,polar target mismatch dCL=0.157,"[0.1317518604453653, 0.25201527911737376, 0.21050718631595375, 0.5051615032368573, 0.3843844690947924, 0.052077464653779756, 0.10799664300782606]","[-0.04665023468434809, -0.2680734355285075, -0.10088195561431348, 0.1358857747774851, -0.06733516056913325, 0.06667795346835814, 0.14190891752320065]"
smoke,mid1,10,seedless,seedless_sobol_0197,13.074064321583316,0.06748816443243603,1.3141229013977227,1.471872718910568,-0.10364217671433129,1.0,0.14129087771877297,0.37622641509433963,0.06272978421771723,0.0027863621637225153,False,stall margin -0.365 at reference_avl_case,low,no immediate artifact trigger,"[0.1551337164826691, 0.26007762268641776, 0.29504775013774637, 0.3760687223363081, 0.5112001788513418, 0.2631365201079734, 0.2396119623775743]","[-0.1746646701171994, 0.008217957596726722, -0.21002393268980085, 0.14832628038696388, -0.06429933824762703, 0.09913120624374411, 0.1292117697899258]"
smoke,mid2,1,seedless,seedless_sobol_0196,11.63854364879416,0.014574250739398959,1.2341317892473938,1.391989314399341,-0.02154633665749233,1.0,0.11508589110527584,0.2554716981132075,0.025662690754009898,0.0008112817825749516,False,stall margin -0.241 at reference_avl_case,low,no immediate artifact trigger,"[0.20213734805583955, 0.2895487999729812, 0.19996407642960545, 0.1395363172738552, 0.05982668904244713, 0.11687424792517444, 0.1255893328661751]","[-0.07488231495022774, -0.08512549306418749, -0.08567767801694573, -0.1206874126623925, -0.0679348112642765, 0.03356657304835692, 0.0012419720570892093]"
smoke,mid2,2,seedless,seedless_sobol_0336,11.865968020141848,0.016919837217239497,1.24650494657182,1.4054383984476306,-0.02748616246904569,1.0,0.10979673156437389,0.279622641509434,0.027149581454803666,0.0020788026312366127,False,stall margin -0.232 at reference_avl_case,low,no immediate artifact trigger,"[0.22027684532105926, 0.2630519156530499, 0.17960175968706607, 0.17880781428335607, 0.07569904462965764, 0.06914498583174777, 0.04740667163380608]","[-0.051568311303853975, -0.04786775988869371, -0.11842897616326808, -0.09723959481132032, -0.09829992283135654, 0.06555833287684991, 0.08753330380774847]"
smoke,mid2,3,seedless,seedless_sobol_0296,11.900434062716707,0.013289309750616832,1.3630756346324149,1.5321456680787118,-0.052302339015369174,1.0,0.13363973159165343,0.27358490566037735,0.03767545832507603,0.000837109514977783,False,stall margin -0.148 at reference_avl_case,low,no immediate artifact trigger,"[0.26425502404570583, 0.2550713374465704, 0.35951224111020563, 0.1871676057425514, 0.19053655454246884, 0.038182650761287656, 0.21606833884391563]","[-0.11540721908211707, -0.08446181983590126, -0.04893768104724586, -0.10710072208646686, 0.007443355396389961, -0.04473189381779079, 0.07396605108385533]"
smoke,mid2,4,seedless,seedless_sobol_0416,11.980422876781006,0.01786932390008987,1.422272112066724,1.5964896652899174,-0.031861269756189275,1.0,0.10737220159938256,0.33396226415094343,0.024676560000511435,0.003239846642129123,False,stall margin -0.110 at reference_avl_case,low,no immediate artifact trigger,"[0.24171808756887916, 0.252335141710937, 0.08841533206403256, 0.25766341042029484, 0.08892979179620557, 0.24365836836265867, 0.017153030113007874]","[-0.09953849166631698, 0.00013104132093486043, -0.14649949793703854, -0.12337070424997434, -0.08841547410935163, -0.016835327141308233, 0.06600404613089561]"
smoke,mid2,5,seedless,seedless_sobol_0222,11.997161884624056,0.013672968384642352,0.18787084968011314,0.25474916269577513,-0.058512435539062754,1.0,0.15644429007355415,0.279622641509434,0.025345854889119918,0.0015433866842649877,False,stall margin -5.763 at reference_avl_case,medium,polar target mismatch dCL=0.965,"[0.05697022289037705, 0.3186723629198968, 0.339687679708004, 0.24697329850491695, 0.048012290964491666, 0.06404909187913872, 0.18466671878714302]","[-0.11863418981432913, -0.18479829803306608, -0.2152611908596009, -0.01168420379902052, -0.019836363308131696, 0.01780562023665755, 0.018143664296882227]"
smoke,mid2,6,seedless,seedless_sobol_0377,12.154014762172874,0.020044290691444217,0.5519533652586365,0.6504910274550397,-0.034087554922547614,1.0,0.11793919252060871,0.26150943396226417,0.015811222709508865,0.00048572748247534037,False,stall margin -1.467 at reference_avl_case,medium,polar target mismatch dCL=0.570,"[0.0850595720857382, 0.16826097464188933, 0.3130965647473931, 0.06583995839666762, 0.13421879975580236, 0.03162001079541631, 0.009653042735723778]","[-0.1434070365130901, -0.1712628008324653, -0.15199316694401205, 9.344998934118776e-05, -0.04181316737085581, 0.06234298043543193, -0.002154720031220466]"
