airfoil_id,zone,source_category,reference_alias,cst_coefficients_available,cst_upper_coefficients,cst_lower_coefficients,cst_te_thickness,coordinate_path,geometry_hash,generation_index,candidate_role,screening_quality,score,screening_rank_by_score_in_zone,screening_per_zone_top_k_rank,screening_pareto_front,mean_cd,cd_p90,safe_clmax,stall_margin_cl,mean_cm,alpha_L0,cl_alpha,roughness_sensitivity,convergence_pass_rate,archive_source_quality,archive_issues,actual_sidecar_query_quality,actual_sidecar_query_zones,actual_best_weighted_mean_cd_at_work_points,actual_min_clmax_margin,repaired_archive_source_quality,repaired_actual_sidecar_query_quality,repair_worthy_flag,repair_worthy_rank,phase7_1_repair_classification,tier1_minimum_high_value,tier2_recommended_reusable,tier3_exhaustive_current_set,inclusion_reason,notes
cst_root_nsga2_g01_child_0021_23777fbc,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0021_23777fbc.dat,4ea2fc551c7a6ed1,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.12713338743358993,604,,false,0.04115989952278859,0.04696657935375853,1.3514330085507342,-0.20669599144926587,-0.07824584703627915,-15.57194922881375,,0.0024876294892704556,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0022_b346738f,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0022_b346738f.dat,b0da6e6e84947b17,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.1733517749183125,776,,false,0.03600878550828252,0.06044272416869384,1.521863747361081,-0.03626525263891911,-0.0736173288502507,-31.874700617668708,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0023_facf12ff,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0023_facf12ff.dat,e2029717345804be,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.22267559853935354,867,,false,0.033330912281596056,0.04437865497360368,1.3845501544919516,-0.17357884550804847,-0.07103346448897481,-49.860066206153334,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0024_64e45453,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0024_64e45453.dat,84937e1003cdb0d2,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.2804983829917537,937,,false,0.05196235130359395,0.07179150525070163,1.400821671748112,-0.1573073282518882,-0.12102999600118203,-61.15219697817294,,0.00906764132443362,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0025_26ae3506,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0025_26ae3506.dat,e62488b3bf8bebfd,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.20698070848116928,848,,false,0.04946428906952761,0.07226039252909605,1.4918623708807803,-0.06626662911921977,-0.0739424404117691,-38.5895986586459,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0026_efe5aff6,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0026_efe5aff6.dat,962d5785c15bf377,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.13969992694061018,659,,false,0.044060748874588496,0.06846022090848411,1.183974931020474,-0.3741540689795262,-0.11003517039822582,-12.05481311931755,,0.04316652437690269,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0027_0f87b189,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0027_0f87b189.dat,3693115ce0a694fb,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.4524701028692753,994,,false,0.07051710839973502,0.07779427701582631,1.220941928525555,-0.33718707147444515,-0.09526658676863489,-112.3597378158726,,0.012045724224759177,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0028_c550a76d,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0028_c550a76d.dat,839efb262401e5ae,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.2301882684682106,880,,false,0.05653750950761864,0.07123532120383645,1.3406743583044551,-0.21745464169554496,-0.07561766103976837,-43.90124202225541,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0029_3f190f42,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0029_3f190f42.dat,6e245e92eb3217ff,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.1283022655986477,611,,false,0.029649047704725397,0.0339456420060595,1.336506193961824,-0.2216228060381762,-0.07459856953862284,-19.98208350741473,,0.0012924473128637613,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0030_11efcf05,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0030_11efcf05.dat,4ed7a187bb100112,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.14399192283982526,680,,false,0.04053754161972663,0.07454066372065919,1.3923811794030727,-0.1657478205969274,-0.11249555207689657,-14.03963877551935,,0.05377776973525708,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
