z_state,case_label,shape_name,station_index,eta,y_m,main_z_m,rear_z_m,main_slope_dzdy,main_curvature_d2zdy2,eta_at_max_abs_curvature,eta_at_max_abs_slope
6deg,target_main_tip_z_1p804m,realizable_loaded,22,0.3728813559322034,6.400934677966102,0.3334089594303515,0.3362874562917947,0.0760321769282225,0.015187199018011188,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,23,0.38983050847457623,6.691886254237288,0.35571537516086915,0.35844011365821754,0.07730272312611342,0.0043692203912321925,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,24,0.4067796610169491,6.982837830508474,0.378391657717547,0.38096217252498166,0.07857464004803294,0.004373931567044076,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,25,0.423728813559322,7.273789406779661,0.40143820591470175,0.40385411050785835,0.07984792769398097,0.00437864274285657,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,26,0.44067796610169485,7.564740983050847,0.42485541856665,0.42711640521991623,0.08112258606395795,0.0043833539186690085,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,27,0.4576271186440678,7.855692559322034,0.44864369448770886,0.4507495342721672,0.08239861515796343,0.004388065094480531,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,28,0.47457627118644063,8.14664413559322,0.47280343249219464,0.47475397527421137,0.0836760149759973,0.004392776270292803,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,29,0.4915254237288135,8.437595711864407,0.49733503139442453,0.4991302058348838,0.08495478551806013,0.010124874702928777,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,30,0.5084745762711864,8.728547288135594,0.522238890008715,0.5238787035628991,0.08956771148472809,0.02823290620910121,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,31,0.5254237288135593,9.01949886440678,0.5494547650733934,0.5508101584727717,0.1013836026465692,0.03519727934376382,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,32,0.5423728813559322,9.310450440677966,0.5812343280048569,0.5820322007967375,0.11004911929577876,0.017720966126651777,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,33,0.559322033898305,9.601402016949153,0.6134926945261189,0.6137352300294547,0.11169548870176449,0.0056610513305521415,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,34,0.5762711864406779,9.892353593220339,0.6462302850051745,0.6459199665334517,0.11334330291173123,0.0056660171190165975,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,35,0.5932203389830508,10.183305169491526,0.6794475198100204,0.6785871307043573,0.1149925619256793,0.005670982907480887,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,36,0.6101694915254237,10.474256745762712,0.7131448193086514,0.7117374429762771,0.11664326574360828,0.005675948695945232,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,37,0.6271186440677966,10.7652083220339,0.7473226038690639,0.7453716238271733,0.1182954143655186,0.005680914484408051,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,38,0.6440677966101694,11.056159898305085,0.7819812938592529,0.7794903937842437,0.11994900779140893,0.0056858802728719515,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,39,0.6610169491525423,11.347111474576272,0.8171213096472144,0.8140944734293032,0.12160404602128128,0.005690846061337379,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,40,0.6779661016949152,11.638063050847459,0.8527430716009443,0.8491845834041658,0.12326052905513452,0.017458383737345845,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,41,0.6949152542372881,11.929014627118644,0.8888470000884378,0.8847614444160288,0.13176313455633726,0.034495118096664834,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,42,0.711864406779661,12.21996620338983,0.9294164549881418,0.9247654953811096,0.14333334702290523,0.028275143482735243,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,43,0.7288135593220338,12.510917779661018,0.9722531265855164,0.9670248031806522,0.14821652968752885,0.0117852977959029,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,44,0.7457627118644068,12.801869355932205,1.0156641208722053,1.0098655952783762,0.15019124896399183,0.006789764178530111,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,45,0.7627118644067796,13.09282093220339,1.0596498878419396,1.0532886826746373,0.15216751486803481,0.006795079934508619,0.5254237288135593,1.0
