spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
rear,33,9.601402,1.03289591e-03,-4.84594151e-02,8.91147956e-01,-2.54401508e-01,-7.07620069e-01,-4.60361913e-02
rear,34,9.892354,1.21719570e-03,-5.40319383e-02,9.71908074e-01,-2.63779319e-01,-7.19454638e-01,-4.65976974e-02
rear,35,10.183305,1.43469908e-03,-5.96948316e-02,1.05395743e+00,-2.62655671e-01,-7.31012871e-01,-4.74597943e-02
rear,36,10.474257,1.98635125e-03,-6.52362560e-02,1.13421338e+00,-2.50852799e-01,-7.42467774e-01,-4.59306851e-02
rear,37,10.765208,3.02203896e-03,-7.05245287e-02,1.21179479e+00,-2.47000446e-01,-7.56057911e-01,-5.40568939e-02
rear,38,11.056160,2.98303892e-03,-7.58352127e-02,1.28923497e+00,-2.49172562e-01,-7.70245162e-01,-5.52716510e-02
rear,39,11.347111,3.04662207e-03,-8.12550625e-02,1.36827025e+00,-2.57235969e-01,-7.84641170e-01,-5.53628754e-02
rear,40,11.638063,3.19793004e-03,-8.68976550e-02,1.45059543e+00,-2.71051907e-01,-7.99085341e-01,-5.67009132e-02
rear,41,11.929015,3.14053528e-03,-9.28810565e-02,1.53786380e+00,-2.90477040e-01,-8.13604035e-01,-5.88420194e-02
rear,42,12.219966,3.82157531e-03,-1.00132198e-01,1.63158272e+00,-3.10917352e-01,-8.26734449e-01,-6.82286142e-02
rear,43,12.510918,3.97510900e-03,-1.08205277e-01,1.73077614e+00,-3.25778776e-01,-8.39667432e-01,-7.09527979e-02
rear,44,12.801869,4.11146204e-03,-1.16551361e-01,1.83328194e+00,-3.32976695e-01,-8.52637556e-01,-7.05488055e-02
rear,45,13.092821,4.72883031e-03,-1.24977801e-01,1.93684862e+00,-3.32365416e-01,-8.65415458e-01,-6.98400818e-02
rear,46,13.383773,7.89298160e-03,-1.33246742e-01,2.03918056e+00,-3.23765138e-01,-8.79071552e-01,-5.52950055e-02
rear,47,13.674724,5.96524430e-03,-1.41316543e-01,2.13923368e+00,-3.18161197e-01,-8.74683065e-01,-9.85183417e-02
rear,48,13.965676,2.66350821e-03,-1.49307230e-01,2.23775257e+00,-3.13272423e-01,-8.76472746e-01,-6.46702253e-02
rear,49,14.256627,4.43574308e-03,-1.57642807e-01,2.33530834e+00,-3.09265842e-01,-8.75228661e-01,-7.36955245e-02
rear,50,14.547579,4.93372430e-03,-1.66279838e-01,2.43199684e+00,-3.05977248e-01,-8.74441648e-01,-7.94312054e-02
rear,51,14.838530,4.89390082e-03,-1.74861812e-01,2.52781998e+00,-3.03327212e-01,-8.74362605e-01,-7.74453847e-02
rear,52,15.129482,5.16723003e-03,-1.83380731e-01,2.62295874e+00,-3.01267003e-01,-8.74128175e-01,-7.73809835e-02
rear,53,15.420434,5.35141717e-03,-1.91862203e-01,2.71757278e+00,-2.99720719e-01,-8.73834768e-01,-7.81412612e-02
rear,54,15.711385,6.22033239e-03,-2.00831343e-01,2.81239660e+00,-2.98615577e-01,-8.73449276e-01,-8.16473730e-02
rear,55,16.002337,6.54259464e-03,-2.09859111e-01,2.90701704e+00,-2.97869652e-01,-8.73288561e-01,-8.29778865e-02
rear,56,16.293288,6.76770400e-03,-2.18880983e-01,3.00146375e+00,-2.97410902e-01,-8.73314451e-01,-8.24446631e-02
rear,57,16.584240,8.38268541e-03,-2.28465849e-01,3.09750128e+00,-2.97171591e-01,-8.73347272e-01,-8.18798422e-02
rear,58,16.875191,9.24368236e-03,-2.38113463e-01,3.19358193e+00,-2.97103847e-01,-8.72716551e-01,-8.81199235e-02
rear,59,17.166143,9.36360630e-03,-2.47794079e-01,3.28964870e+00,-2.97081403e-01,-8.72824985e-01,-8.70359366e-02
