kind,variant_id,station_index,beam,y_m,eta,node_x_m,node_z_m,lift_per_span_npm,aero_torque_per_span_nmpm,torque_about_main_per_span_nmpm,applied_lift_fz_n,torque_main_my_n,main_self_weight_fz_n,rear_self_weight_fz_n,load_fx_n,load_fy_n,load_fz_n,load_mx_nm,load_my_nm,load_mz_nm,reaction_fx_n,reaction_fy_n,reaction_fz_n,reaction_mx_raw_nm,reaction_my_raw_nm,reaction_mz_raw_nm,applied_moment_origin_mx_nm,applied_moment_origin_my_nm,applied_moment_origin_mz_nm,reaction_moment_origin_mx_nm,reaction_moment_origin_my_nm,reaction_moment_origin_mz_nm,station_bending_residual_mx_nm,station_torque_residual_my_nm,station_yaw_residual_mz_nm,station_moment_residual_norm_nm,cumulative_bending_residual_mx_nm,cumulative_torque_residual_my_nm,cumulative_yaw_residual_mz_nm,cumulative_moment_residual_norm_nm,source,reaction_resultant_n,reaction_moment_mx_nm,reaction_moment_my_nm,reaction_moment_mz_nm,reaction_moment_norm_nm,applied_force_n,applied_moment_nm,constraint_force_n,constraint_moment_nm,residual_force_n,residual_moment_nm,force_residual_norm_n,moment_residual_norm_nm,pass_threshold_nm
station_combined,baseline,6,combined,1.7457094576271186,0.10169491525423728,,,74.6058081452409,-45.810311579334886,-45.810311579334886,,,,,,,,,,,,,,,,,34.10187230842673,-12.784249541097585,0.0,0.0,0.0,0.0,34.10187230842673,-12.784249541097585,0.0,36.41942793715046,-69.57164068161435,-456.76695095024826,2622.1383466830257,2662.533712427527,,,,,,,,,,,,,,,
beam_node,baseline,7,main,2.036661033898305,0.11864406779661016,0.29839725061704536,0.11273908525695636,74.30142396558684,-45.789386799887815,-45.789386799887815,21.618116421981203,-13.32249426591842,-1.6548966371759048,0.0,0.0,0.0,19.963219784805297,0.0,-13.32249426591842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658311846860656,-13.007154779398572,0.0,0.0,0.0,-0.0,40.658311846860656,-13.007154779398572,0.0,42.688223173280484,,,,,,,,,,,,,,,,,,,
beam_node,baseline,7,rear,2.036661033898305,0.11864406779661016,0.835512301727727,0.11065604088473745,74.30142396558684,-45.789386799887815,-45.789386799887815,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0531630073285454,0.2695754992515562,0.0,0.0,0.0,0.0,-1.0531630073285454,0.2695754992515562,0.0,1.087116953138912,,,,,,,,,,,,,,,,,,,
station_combined,baseline,7,combined,2.036661033898305,0.11864406779661016,,,74.30142396558684,-45.789386799887815,-45.789386799887815,,,,,,,,,,,,,,,,,39.60514883953211,-12.737579280147017,0.0,0.0,0.0,0.0,39.60514883953211,-12.737579280147017,0.0,41.60304965407611,-29.96649184208224,-469.5045302303953,2622.1383466830257,2664.0086343114162,,,,,,,,,,,,,,,
beam_node,baseline,8,main,2.3276126101694916,0.13559322033898305,0.29614067584805187,0.11868128422072724,73.97494207579055,-45.75500685892923,-45.75500685892923,21.52312600152098,-13.312491367904409,-1.6548966371759048,0.0,0.0,0.0,19.868229364345073,0.0,-13.312491367904409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.24554121018937,-12.95381820719915,0.0,0.0,0.0,-0.0,46.24554121018937,-12.95381820719915,0.0,48.02552954386331,,,,,,,,,,,,,,,,,,,
beam_node,baseline,8,rear,2.3276126101694916,0.13559322033898305,0.8291938923745452,0.11716066625655475,73.97494207579055,-45.75500685892923,-45.75500685892923,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2036148655183379,0.2663082324431994,0.0,0.0,0.0,0.0,-1.2036148655183379,0.2663082324431994,0.0,1.2327241456075027,,,,,,,,,,,,,,,,,,,
station_combined,baseline,8,combined,2.3276126101694916,0.13559322033898305,,,73.97494207579055,-45.75500685892923,-45.75500685892923,,,,,,,,,,,,,,,,,45.04192634467103,-12.687509974755951,0.0,0.0,0.0,0.0,45.04192634467103,-12.687509974755951,0.0,46.7947437026671,15.075434502588791,-482.1920402051512,2622.1383466830257,2666.1481469543733,,,,,,,,,,,,,,,
beam_node,baseline,9,main,2.618564186440678,0.15254237288135591,0.2938841010790583,0.12463403450976612,73.58808004730136,-45.68386181819456,-45.68386181819456,21.41056788453258,-13.291791606158778,-1.6548966371759048,0.0,0.0,0.0,19.755671247356673,0.0,-13.291791606158778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.73149320742402,-12.890570262626936,0.0,0.0,0.0,-0.0,51.73149320742402,-12.890570262626936,0.0,53.31335846826271,,,,,,,,,,,,,,,,,,,
beam_node,baseline,9,rear,2.618564186440678,0.15254237288135591,0.8228754830213633,0.12366751355720604,73.58808004730136,-45.68386181819456,-45.68386181819456,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35406672370813,0.26304096563484236,0.0,0.0,0.0,0.0,-1.35406672370813,0.26304096563484236,0.0,1.3793792958630995,,,,,,,,,,,,,,,,,,,
station_combined,baseline,9,combined,2.618564186440678,0.15254237288135591,,,73.58808004730136,-45.68386181819456,-45.68386181819456,,,,,,,,,,,,,,,,,50.377426483715894,-12.627529296992094,0.0,0.0,0.0,0.0,50.377426483715894,-12.627529296992094,0.0,51.93591816140919,65.45286098630469,-494.8195695021433,2622.1383466830257,2669.220858700001,,,,,,,,,,,,,,,
