rib_id,y_m,rib_type,mandatory_reason,material_family,material_structural_role,hybrid_next_step_candidate,notes
R105,12.871607,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R106,13.166917,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R107,13.462227,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R108,13.75929,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R109,14.056352,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R110,14.353415,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R111,14.650478,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R112,14.94754,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R113,15.244603,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R114,15.541665,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R115,15.838728,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R116,16.13579,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R117,16.432853,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R118,16.729916,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R119,17.026978,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R120,17.324041,mandatory_contract_rib,tip_boundary,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
