airfoil_id,zone,Re,roughness_mode,alpha_deg,cl,cd,cm,converged,status,warning_flags,branch_label,raw_source
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.8,0.800477911,0.196565653,-0.0892134637,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.9,0.791873071,0.19743631,-0.0910695476,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,18,0.781999378,0.19811273,-0.0930749798,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-6,-0.147088195,0.0441017228,-0.10287502,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-5.75,-0.118423731,0.0394309146,-0.108337922,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-5.5,-0.0892830046,0.0352257404,-0.112248877,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-5.25,-0.0600155853,0.031623939,-0.114915425,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-5,-0.0310753709,0.0289783466,-0.11652123,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-4.75,-0.00261030841,0.0273636425,-0.117528802,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-4.5,0.0260416585,0.0263346733,-0.11820959,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-4.25,0.054972623,0.0249277613,-0.118472104,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-4,0.0831662641,0.0235826776,-0.118547839,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-3.75,0.111002,0.022389848,-0.11896316,True,ok,,prestall,phase7_1_focused_rerun
