spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
rear,29,8.437596,6.69311014e-04,-3.18552706e-02,6.34370011e-01,-1.43297612e-01,-6.61636805e-01,-3.45492987e-02
rear,30,8.728547,6.05507256e-04,-3.46475321e-02,6.83935985e-01,-1.68541373e-01,-6.73388811e-01,-3.47455993e-02
rear,31,9.019499,7.81605036e-04,-3.81548519e-02,7.42237974e-01,-2.00941732e-01,-6.85136297e-01,-4.02605108e-02
rear,32,9.310450,1.21372936e-03,-4.28611738e-02,8.10171784e-01,-2.30241487e-01,-6.97055407e-01,-4.75573298e-02
rear,33,9.601402,1.03106028e-03,-4.80596836e-02,8.85243254e-01,-2.49379171e-01,-7.09298492e-01,-4.61829211e-02
rear,34,9.892354,1.21317902e-03,-5.35299930e-02,9.64472835e-01,-2.58198897e-01,-7.21161239e-01,-4.67457624e-02
rear,35,10.183305,1.42958456e-03,-5.90798581e-02,1.04483060e+00,-2.56524961e-01,-7.32748169e-01,-4.76030889e-02
rear,36,10.474257,1.99137124e-03,-6.44973229e-02,1.12323624e+00,-2.44179891e-01,-7.44236060e-01,-4.60058768e-02
rear,37,10.765208,3.04227829e-03,-6.96420309e-02,1.19868921e+00,-2.38952389e-01,-7.57915113e-01,-5.43556399e-02
rear,38,11.056160,2.99140752e-03,-7.47830733e-02,1.27360124e+00,-2.39747479e-01,-7.72207362e-01,-5.55462183e-02
rear,39,11.347111,3.04987294e-03,-8.00062976e-02,1.34970834e+00,-2.46433182e-01,-7.86706954e-01,-5.56293638e-02
rear,40,11.638063,3.19661878e-03,-8.54253699e-02,1.42870522e+00,-2.58871525e-01,-8.01252647e-01,-5.69856212e-02
rear,41,11.929015,3.13211273e-03,-9.11583849e-02,1.51224531e+00,-2.76919890e-01,-8.15872902e-01,-5.91398847e-02
rear,42,12.219966,3.80548279e-03,-9.80951688e-02,1.60184132e+00,-2.96034310e-01,-8.29075491e-01,-6.85738901e-02
rear,43,12.510918,3.94772952e-03,-1.05808249e-01,1.69654349e+00,-3.09692368e-01,-8.42072980e-01,-7.13060181e-02
rear,44,12.801869,4.07329078e-03,-1.13767708e-01,1.79422946e+00,-3.15831676e-01,-8.55111700e-01,-7.09016934e-02
rear,45,13.092821,4.67963547e-03,-1.21784245e-01,1.89269001e+00,-3.14307455e-01,-8.67960555e-01,-7.02064481e-02
rear,46,13.383773,7.82723289e-03,-1.29623506e-01,1.98967204e+00,-3.04940790e-01,-8.81689262e-01,-5.56978050e-02
rear,47,13.674724,5.85803756e-03,-1.37257022e-01,2.08426820e+00,-2.99337189e-01,-8.77294658e-01,-9.88196503e-02
rear,48,13.965676,2.54089541e-03,-1.44810313e-01,2.17733018e+00,-2.94448803e-01,-8.79076324e-01,-6.48932237e-02
rear,49,14.256627,4.30160420e-03,-1.52677306e-01,2.26943006e+00,-2.90442876e-01,-8.77814634e-01,-7.39977676e-02
rear,50,14.547579,4.77986792e-03,-1.60826791e-01,2.36066332e+00,-2.87154742e-01,-8.77017284e-01,-7.97263307e-02
rear,51,14.838530,4.72476764e-03,-1.68920692e-01,2.45103126e+00,-2.84505122e-01,-8.76929468e-01,-7.77157762e-02
rear,52,15.129482,4.98512715e-03,-1.76951069e-01,2.54071486e+00,-2.82445411e-01,-8.76683390e-01,-7.76588032e-02
rear,53,15.420434,5.15352244e-03,-1.84943678e-01,2.62987381e+00,-2.80899631e-01,-8.76378090e-01,-7.84293227e-02
rear,54,15.711385,5.99699315e-03,-1.93396251e-01,2.71924430e+00,-2.79795108e-01,-8.75977228e-01,-8.20153199e-02
rear,55,16.002337,6.29353602e-03,-2.01903960e-01,2.80841166e+00,-2.79049360e-01,-8.75815617e-01,-8.32695665e-02
rear,56,16.293288,6.49953989e-03,-2.10405128e-01,2.89740533e+00,-2.78591101e-01,-8.75830480e-01,-8.27664182e-02
rear,57,16.584240,8.05920695e-03,-2.19444886e-01,2.98799471e+00,-2.78352657e-01,-8.75839924e-01,-8.24413647e-02
rear,58,16.875191,8.87170581e-03,-2.28545455e-01,3.07862745e+00,-2.78283828e-01,-8.75237814e-01,-8.83969356e-02
rear,59,17.166143,8.98084134e-03,-2.37677240e-01,3.16924633e+00,-2.78261492e-01,-8.75343406e-01,-8.73411698e-02
