spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
rear,17,4.946177,-3.84134229e-04,-8.05648406e-03,2.03964610e-01,-7.90604409e-03,-3.22011330e-01,-9.93274998e-03
rear,18,5.237128,-4.61247625e-04,-8.39815730e-03,2.08874533e-01,-1.26462610e-02,-3.32912756e-01,-1.03141797e-02
rear,19,5.528080,-4.83171408e-04,-8.83020998e-03,2.16257976e-01,-2.43987767e-02,-3.43984478e-01,-1.03797981e-02
rear,20,5.819032,-5.13888763e-04,-9.42923841e-03,2.28142699e-01,-4.30711343e-02,-3.55184456e-01,-1.12130037e-02
rear,21,6.109983,-4.63824905e-04,-1.03517892e-02,2.46343619e-01,-6.60692090e-02,-3.66882823e-01,-1.42376244e-02
rear,22,6.400935,-2.81536363e-04,-1.17845282e-02,2.71226505e-01,-8.61575007e-02,-3.79432595e-01,-1.81710406e-02
rear,23,6.691886,-4.04306926e-04,-1.34734303e-02,3.00930428e-01,-9.86001743e-02,-3.92036612e-01,-1.76628171e-02
rear,24,6.982838,-3.48473197e-04,-1.52923274e-02,3.33213878e-01,-1.03284487e-01,-4.04407322e-01,-1.82646581e-02
rear,25,7.273789,-3.72547100e-04,-1.71302089e-02,3.65800593e-01,-1.00090513e-01,-4.16565952e-01,-1.95128246e-02
rear,26,7.564741,-1.00132735e-03,-1.88801476e-02,3.96379565e-01,-8.89016093e-02,-4.28392748e-01,-2.36963676e-02
rear,27,7.855693,-1.69713806e-04,-2.04410350e-02,4.23115891e-01,-7.69335771e-02,-4.34409790e-01,-1.44687190e-02
rear,28,8.146644,7.12669810e-04,-2.19007606e-02,4.47892566e-01,-7.51417558e-02,-4.39700309e-01,-2.39716597e-02
rear,29,8.437596,4.25150037e-04,-2.34393653e-02,4.73646326e-01,-8.33598798e-02,-4.45757828e-01,-2.31380604e-02
rear,30,8.728547,3.71223826e-04,-2.51742899e-02,5.03275634e-01,-1.01469785e-01,-4.52007655e-01,-2.30440667e-02
rear,31,9.019499,4.89772894e-04,-2.74101750e-02,5.39443129e-01,-1.26476772e-01,-4.58334566e-01,-2.66957486e-02
rear,32,9.310450,7.71045337e-04,-3.04886865e-02,5.83081204e-01,-1.49271712e-01,-4.64859745e-01,-3.14385429e-02
rear,33,9.601402,6.47983998e-04,-3.39408316e-02,6.32169221e-01,-1.63583217e-01,-4.71558814e-01,-3.04153103e-02
rear,34,9.892354,7.63713143e-04,-3.75866239e-02,6.84216603e-01,-1.69261005e-01,-4.77958966e-01,-3.07308447e-02
rear,35,10.183305,8.54929142e-04,-4.12646478e-02,7.36685677e-01,-1.66141837e-01,-4.84116042e-01,-3.14834565e-02
